product,avg_expiry_days
Agro Fresh Sooji (Suji)  (500 g),729
Agro Fresh Whole Wheat Atta (Whole-Gehuro otta)  (1 kg),7
Agro Fresh Whole Wheat Atta (Whole-Gehuro otta)  (10 kg),7
Agro Fresh Whole Wheat Atta (Whole-Gehuro otta)  (5 kg),7
Alpenliebe Creamfills Butter Toffee  (144 g),14
cust_purchaseAlpenliebe Eclairs Plus Chocolate, Caramel Toffee  (425 g)cust_purchase,7
Alpenliebe Gold Cream Strawberry Toffee  (144 g),14
Alpenliebe Gold Cream Strawberry Toffee  (324 g),14
Alpenliebe Gold Rich Milky Caramel Toffee  (144 g),14
Alpenliebe Juicy Fills Assorted Jelly Candy  (324 g),28
Alpenliebe Mixed Fruit Lollipop  (64 g),1
Alpenliebe Strawberry Jelly Candy  (148 g),28
cust_purchaseAmul Fresh Pure Cream  (250 ml, Pack of 1)cust_purchase,14
Amul Garlic & Herbs Salted Butter  (100 g),120
Amul Ghee 1 L Tin (Ghio),179
Amul Kool  (Badam),729
Amul Kool  (Kesar),729
Amul Kool  (Rose),729
Amul Kool Kesar,729
Amul Lactose Free Milk,14
Amul Masti Spiced Buttermilk  (200 ml),7
Amul Mithai Mate Sweetened Condensed Milk,14
Amul Moti Toned Milk,14
Amul Pasteurised Salted Butter  (100 g),359
Amul Pasteurised Salted Butter  (200 g),359
Amul Pasteurised Salted Butter  (500 g),359
Amul Plain Cheese Spread  (200 g),60
Amul Plain Processed cheese Block  (1 kg),60
Amul Plain Processed cheese Block  (200 g),60
Amul Plain Processed cheese Slices  (100 g),60
Amul Processed cheese Block  (500 g),60
cust_purchaseAmul Processed cheese Cubes  (200 g, 8 Units)cust_purchase,60
cust_purchaseAmul Processed cheese Slices  (200 g, 10 Units)cust_purchase,60
Amul Pure Ghee 1 L Tetrapack (Ghio),179
Amul School Pack Salted Butter  (100 g),359
Amul Source of Calcium & Protein Sweet Lassi  (250 ml),151
Amul Taaza Homogenised Toned Milk,14
Amul Taaza Homogenised Toned Milk  (1 L),14
Amulya Dairy Whitener Milk Powder  (1 kg),60
Amulya Dairy Whitener Semi Skimmed Milk Powder  (500 g),60
Anik Buffalo Ghee 1 L Carton (Ghio),179
Anik Cow Ghee 500 ml Plastic Bottle (Ghio),179
Anik Desi Ghee 1 L Tin (Ghio),179
Anmol Bakery Biscuit  (200 g),729
Anmol Coconut Premium Cookies  (156 g),120
Anmol Dream Lite Premium Salted Biscuit (Luniya Biscuit)  (124 g),359
Anmol Dream Lite Salted Biscuit (Luniya Biscuit)  (500 g),359
Anmol Marie Biscuit  (800 g),151
Anmol Milk Made Biscotti  (32 g Extra in Pack)  (128 g),14
Anmol Plus Marie Biscuit  (17 g Extra in Pack)  (215 g),151
Anmol Romanzo Choco Cookies Cream Filled  (250 g),14
cust_purchaseAnmol Shortbread Cookies  (120 g, Pack of 24)cust_purchase,5
Anmol Whole Wheat Biscuits Digestive  (100 g),7
Annapurna Cow Ghee 500 ml Plastic Bottle (Ghio),179
Annapurna Desi Ghee 1 L Box (Ghio),179
Annapurna Ghee 250 ml Glass Bottle (Ghio),179
Anytime Hakka Noodles Vegetarian  (450 g),7
Apis Arabian Pearls Premium Fard Dates (Khajuri)  (500 g),90
Apis Fruit Blast Mango Jam 450 g (Amboro Jam),7
cust_purchaseApis Himalaya Honey  (Combo Pack 1 + 1 Free, 1 kg each)  (1 kg)cust_purchase,359
Apis Himalaya Honey Squeezy  (500 g),359
Apis Himalayan Honey  (750 g),359
cust_purchaseApis Honey  (Combo Pack 1 + 1 Free, 500 g each)  (500 g)cust_purchase,359
cust_purchaseApis Mixed Fruit Blast Jam 450 g (Mixed Fruit Jam)  (Combo Pack 1 + 1 Free, 450 g each)cust_purchase,1
Apis Mixed Fruit Jam 1 kg,1
Apis Royal Zahidi Premium Dates (Khajuri)  (500 g),90
Appy Fizz Plastic Bottle  (1 L),3
cust_purchaseB Natural Apple Juice, Goodness of fiber, Vitamin C & E  (1 L)cust_purchase,3
cust_purchaseB Natural Apple Juice, Goodness of fiber, Vitamin C & E  (2 x 1 L)cust_purchase,3
cust_purchaseB Natural Guava Juice, Goodness of Fiber, Vit C & E  (1 L)cust_purchase,5
cust_purchaseB Natural Litchi Juice, Goodness of fiber, Vitamin C & E  (1 L)cust_purchase,3
cust_purchaseB Natural Mixed Fruit, Goodness of fiber, Rich in Vitamin C & E  (1 L)cust_purchase,1
cust_purchaseB Natural Orange Juice, Goodness of fiber, Enriched with Vitamin C & E  (1 L)cust_purchase,3
B Natural Tender Coconut Water - No Added Sugar  (6 x 0.2 L),72
BISK FARM Googly Plain  (170 g),729
BISK FARM Rich Marie Biscotti  (300 g),151
BISK FARM Top Gold Bakery Biscuit  (200 g),729
cust_purchaseBRITANNIA 50-50 Maska Chaska Salted Biscuit (Luniya Biscuit)  (300 g, Pack of 6)cust_purchase,359
BRITANNIA Bourbon Biscuits Cream Sandwich  (150 g),14
BRITANNIA Gobbles Bar Choco Chill Cake  (110 g),5
BRITANNIA Gobbles Bar Fruity Fun Cake  (110 g),7
BRITANNIA Gobbles Fruit Cake  (60 g),7
BRITANNIA Gold Marie Biscuit  (950 g),151
BRITANNIA Good Day Butter Cookies  (200 g),7
cust_purchaseBRITANNIA Good Day Cashew Cookies  (600 g, Pack of 5)cust_purchase,7
cust_purchaseBRITANNIA Good Day Chocochips Cookies  (400 g, Pack of 4)cust_purchase,7
BRITANNIA Good Day Chunkies Cookies  (120 g),21
BRITANNIA Little Hearts Classic Sweet & Salty (Mitha & Luniya)  (75 g),359
BRITANNIA Milk Bikis Biscuits Cream Sandwich  (200 g),14
BRITANNIA Nice Time Coconut Cookies  (143 g),120
BRITANNIA Nutri Choice High Fibre Biscuits Digestive  (250 g),3
BRITANNIA Nutri Choice Thin Arrowroot Biscuit  (295 g),3
BRITANNIA NutriChoice 5 Grain Multigrain Biscuits Digestive  (200 g),3
BRITANNIA NutriChoice Essentials Oats Cookies (No Added Sugar & Diabetic Friendly) Digestive  (150 g),72
BRITANNIA NutriChoice Oats Milk Almond Cookies  (75 g),14
BRITANNIA NutriChoice Zero (No Maida & Zero Added Sugar) Digestive  (100 g),3
BRITANNIA Nutrichoice Sugar Free Cracker Salted Biscuit (Luniya Biscuit)  (300 g),3
BRITANNIA Potazos Spicy Biscuit (Masala Biscuit)  (71.5 g),244
BRITANNIA Premium Sooji Rusk  (250 g),729
BRITANNIA Pure Cow Ghee 1 L Tin (Ghio),179
BRITANNIA Pure Magic Chocolush Biscuits Cream Filled  (75 g),14
cust_purchaseBRITANNIA Tiger Krunch Chocochips Sweet & Salty (Mitha & Luniya)  (400 g, Pack of 4)cust_purchase,14
BRITANNIA Toastea Sooji Rusk  (700 g),180
BRITANNIA Treat Cocoa Creme Roll Croissants  (45 g),730
BRITANNIA Treat Creme Roll Vanilla Croissants  (45 g),14
cust_purchaseBRITANNIA Treat Jim Jam Cream Sandwich  (Combo Pack 4 + 1 Free, 100 g each)  (368 g, Pack of 4)cust_purchase,14
BRITANNIA Treat Mixed fruit Croissants  (47 g),1
BRITANNIA Vita Gold Marie Biscuit  (248 g),151
BRITANNIA Winkin Cow Chocolicious Thick Milk shake  (Chocolate),14
BRITANNIA Winkin Cow Strawbericious Thick Milk Shake  (Strawberry),14
BRITANNIA Winkin Cow Vanillicious Thick Milk Shake  (Vanilla),14
BRU Gold Instant Coffee  (100 g),730
Bagrry's Choco Fills+ with 5 Grain Goodness | Ragi Advantage Box  (250 g),119
Bagrry's Corn Flakes Plus Original & Healthier (with Fibre Power) Pouch  (80 g Extra in Pack)  (800 g),242
Bagrry's Crunchy Muesli 30% Fruit & Nut with Cranberries | 34% Rich Fibre Oats Pouch  (750 g),7
cust_purchaseBagrry's Crunchy Muesli with Almonds, Raisins & Honey |40% Fibre Rich Oats Pouch  (750 g)cust_purchase,180
Bagrry's Rolled Oats Box  (1.2 kg),269
Bagrry's Whey Protein Chocolate Muesli with Almonds (100% Whole Oats) Box  (500 g),7
Bagrry's White Oats Pouch  (1500 g),269
Bagrry's White Oats with 100% Whole Grains Pouch  (1.5 kg),7
Bagrry's crunchy Nutty Fruity with Seeds & Berries muesli Pouch  (1 kg),7
BeeYogi Honey  (1 kg),359
Bertolli Extra Virgin Olive Oil PET Bottle  (1 L),224
Beyond Snack Kerala Banana Original Style Chips  (10 g Extra in Pack)  (75 g),14
Beyond Snack Kerala Banana Peri Peri Chips  (10 g Extra in Pack)  (75 g),14
Bikaneri Basket Gulab Jamun Tin  (1000 g),729
Bikaneri Basket Gulab Jamun Tin  (500 g),729
Bikaneri Basket Rasgulla Tin (Rosogola)  (500 g),5
Bikaneri Basket Spongy Rasgulla Tin (Rosogola)  (1000 g),5
Bikano All Time Mixture  (1 kg),1
Bikano Aloo Bhujia (Namkeen)  (1 kg),119
Bikano Besan Laddu Box  (400 g),89
Bikano Bikaneri Bhujia (Namkeen)  (1 kg),119
Bikano Bikaneri Bhujia Spicy (Bhujia Sev)  (50 g Extra in Pack)  (400 g),730
Bikano Combo Pack (Namkeen)  (5 x 0.2 kg),119
Bikano Gulab Jamun Box  (1 kg),729
Bikano Khatta Meetha (Namkeen)  (1 kg),119
Bikano Moong Dal  (400 g),119
Bikano Moong Dal Namkeen  (200 g),119
Bikano Navratan Mixture  (1 kg),1
Bikano Panjeeri Laddu Box  (400 g),729
Bikano Rasogolla Tin (Rosogola)  (25% Extra in Pack)  (1 kg),729
Bikano Shahi (Mixture)  (25% Extra in Pack)  (400 g),1
Bikano Shahi Mixture  (1 kg),1
Bikano Tasty Spicy Coated Peanuts (Coated badam)  (50 g Extra in Pack)  (400 g),180
cust_purchaseBingo Cheese Flavour, Free Dip, Thin and Crunchy Chips, Nachos  (2N SRIRACHA CHILLI SAUCE DIPS Free)  (82.5 g)cust_purchase,60
Bingo Chilli Sprinkled Chips  (90 g),14
Bingo Hashtags Spicy Masala Chips  (58 g),14
Bingo Mad Angles Achaari Masti Chips  (66 g),14
Bingo Mad Angles Tomato Madness Chips  (66 g),14
Bingo Mad Angles Very Peri Peri Chips  (130 g),14
Bingo No Rulz Masala Curlz - Masala Flavoured Light & Tasty Baked Puffs Puffcorn  (80 g),5
Bingo Tedhe Medhe Masala Tadka (Namkeen)  (80 g),119
Bingo Yumitos Chilli Sprinkled Chips  (45 g),14
Bolas Black Raisins Raisins (Kishmish)  (250 g),180
Bolas Cashew Pieces Cashews (Kaju)  (500 g),218
Bolas Roasted & Salted Pistachios  (200 g),90
Bolas Tiny Cashew Nuts Cashews (Kaju)  (500 g),180
Bolas Walnut Kernels Walnuts (Akhrot)  (200 g),180
CHEF'S BASKET Durum Wheat Elbow Macaroni Pasta  (500 g),180
CHEF'S BASKET Durum Wheat Fusilli Pasta  (500 g),180
CHEF'S BASKET Durum Wheat Penne Pasta  (500 g),180
CHEF'S BASKET Instant Pasta Macaroni Pasta  (850 g),7
COMPLAN New Royale chocolate flavour  (1 kg),7
COMPLAN New Royale chocolate flavour (Flavored)  (1 kg),7
COMPLAN Nutrition and Health Drink Creamy Classic Jar (Flavored)  (500 g),14
COMPLAN Nutrition and Health Drink Creamy Classic Refill  (500 g),14
COMPLAN Nutrition and Health Drink Kesar Badam Refill  (500 g),119
COMPLAN Nutrition and Health Drink Pista Badam Refill  (500 g),119
COMPLAN Nutrition and Health Drink Royale Chocolate Jar (Flavored)  (500 g),7
COMPLAN Nutrition and Health Drink Royale Chocolate Refill  (500 g),7
Cadbury 5 Star Chocolate Bars  (38 g),7
Cadbury 5 Star Chocolate Home Treats Bars  (191.9 g),7
Cadbury Bournville Cranberry Dark Chocolate Bars  (80 g),7
Cadbury Bournville Fruit & Nut Dark Chocolate Bars  (80 g),7
Cadbury Bournville Rich Cocoa 70% Dark Chocolate Bars  (80 g),7
Cadbury Bournville Rich Cocoa Dark Chocolate Bars  (31 g),7
Cadbury Bournville Rich Cocoa Dark Chocolate Bars  (80 g),7
Cadbury Bournvita Biscuits Tiffin Pack New & Improved Chocolatey Cookies  (250 g),7
cust_purchaseCadbury Bournvita Biscuits, New and Improved Chocolatey Cookies  (111.6 g)cust_purchase,7
Cadbury Bournvita Chocolate Nutrition Drink  (1 kg),7
Cadbury Bournvita Chocolate Nutrition Drink  (2 kg),7
Cadbury Bournvita Chocolate Nutrition Drink  (500 g),7
cust_purchaseCadbury Bournvita Chocolate Nutrition Drink, 1.5 kg Container  (2 x 750 g)cust_purchase,7
Cadbury Bournvita Lil Champs Health Drink  (500 g),7
Cadbury Bournvita Pro Health Vitamins  (75 g),180
Cadbury Celebrations Assorted Chocolate Gift Pack Bars  (178.8 g),7
Cadbury Celebrations Assorted Chocolate Small Gift Pack Bars  (59.8 g),7
Cadbury Choclairs Gold (100 Candies) Candy  (520 g),28
Cadbury Choclairs Gold (100 Candies) Coffee Toffee  (520 g),730
Cadbury Choclairs Gold (25 Candies) Candy  (130 g),28
Cadbury Choclairs Gold (60 Candies) Chocolate Candy  (312 g),28
Cadbury Chocobakes ChocFilled Cookies  (150 g),7
Cadbury Chocobakes ChocFilled Cookies Cream Filled  (300 g),14
cust_purchaseCadbury Chocobakes ChocLayered Chocolate Cake  (114 g, Pack of 6)cust_purchase,7
Cadbury Chocobakes ChocoChip Cookies  (167 g),7
cust_purchaseCadbury Dairy Milk Almond, Roasted & Chocolate Coated Bites  (40 g)cust_purchase,14
Cadbury Dairy Milk Chocolate Bars  (23 g),14
Cadbury Dairy Milk Chocolate Family Pack Bars  (134 g),14
Cadbury Dairy Milk Crackle Chocolate Bars  (36 g),14
Cadbury Dairy Milk Crispello Chocolate Bars  (35 g),14
Cadbury Dairy Milk Fruit and Nut Chocolate Bars  (36 g),14
Cadbury Dairy Milk Fruit and Nut Chocolate Bars  (80 g),14
cust_purchaseCadbury Dairy Milk Hazelnut, Roasted & Chocolate Coated Bites  (40 g)cust_purchase,14
Cadbury Dairy Milk Home Treats Chocolate Bars  (119 g),14
Cadbury Dairy Milk Lickables Chocolate with Oreo Chunks Fudges  (20 g),14
Cadbury Dairy Milk Roast Almond Chocolate Bars  (36 g),14
Cadbury Dairy Milk Silk Bubbly Chocolate Bars  (120 g),14
Cadbury Dairy Milk Silk Chocolate Bars  (150 g),14
Cadbury Dairy Milk Silk Chocolate Bars  (60 g),14
Cadbury Dairy Milk Silk Fruit & Nut Chocolate Bars  (55 g),14
Cadbury Dairy Milk Silk Fruit and Nut Chocolate Bars  (137 g),14
Cadbury Dairy Milk Silk Hazelnut Chocolate Bars  (58 g),14
Cadbury Dairy Milk Silk Mousse Chocolate Bars  (116 g),14
Cadbury Dairy Milk Silk Oreo Chocolate Bars  (130 g),14
Cadbury Dairy Milk Silk Roast Almond Chocolate Bars  (143 g),14
Cadbury Fuse Peanut & Caramel filled Chocolate Bars  (24 g),7
Cadbury Gems Chocolate Pouch Crackles  (25.28 g),7
Cadbury Gems Home Treats Chocolate Crackles  (126.4 g),7
Cadbury Gems Surprise Chocolate Crackles  (15.8 g),7
Cadbury Nutties Chocolate Pack Crackles  (30 g),7
Cadbury Oreo Biscuit Chocolate Flavour (3 single packs inside) Cream Sandwich  (288.75 g),14
Cadbury Oreo Biscuit Chocolate Flavour (5 single packs inside) Cream Sandwich  (481.25 g),14
Cadbury Oreo Biscuit Chocolate Flavour Cream Sandwich  (43.75 g),14
Cadbury Oreo Biscuit Stawberry Flavour Cream Sandwich  (113.75 g),14
Cadbury Oreo Biscuit Vanilla Flavour (3 single packs inside) Cream Sandwich  (288.75 g),14
Cadbury Oreo Biscuit Vanilla Flavour (5 single packs inside) Cream Sandwich  (481.25 g),14
Cadbury Oreo Biscuit Vanilla Flavour Cream Sandwich  (43.75 g),14
Cadbury Oreo Chocolate Flavour Biscuit Cream Sandwich  (131.25 g),14
Cadbury Oreo Vanilla Flavour Biscuit Cream Sandwich  (131.25 g),14
Cadbury Peanut & Caramel filled Chocolate Home Treats Bars  (108.5 g),7
Cadbury Perk Chocolate coated wafer Home Treats Bars  (115.5 g),7
Cadbury Perk Double Chocolate coated wafer Bars  (22 g),7
Candyman Eclairs Toffee  (240 g),28
Catch Amchur Powder (Amchoor Powder)  (100 g),60
Catch Black Pepper/Kali Mirch Sprinkler (Golamaricha gunda)  (50 g),730
Catch Black Salt  (100 g),359
Catch Chat Masala - Sprinkler (Chaat Masala)  (50 g),730
Catch Chicken Masala  (100 g),5
Catch Coriander/Dhaniya Powder (dhania gunda)  (100 g),60
Catch Coriander/Dhaniya Powder (dhania gunda)  (200 g),60
Catch Ginger Garlic Paste  (200 g),730
Catch Ginger Paste  (100 g),730
Catch Hing (Hengu)  (50 g),729
Catch Jeera (Gota jeera)  (500 g),729
Catch Jeera - Whole (Gota jeera)  (100 g),7
Catch Jeera Powder (Jeera gunda)  (100 g),60
Catch Kashmiri Mirch Powder (Lal lanka gunda)  (100 g),60
Catch Kasuri Methi  (50 g),729
Catch Kitchen King Masala Powder (Pariba masala)  (100 g),60
Catch Meat Masala  (100 g),244
Catch Peri Peri Masala Sprinkler  (90 g),244
Catch Pink Rock Salt Sprinklers Rock Salt (Pothoro Lunno)  (100 g),359
Catch Premium Pink Rock Salt (Pothoro Lunno)  (1 kg),359
Catch Red Chilli Powder (Lal lanka gunda)  (100 g),60
Catch Red Chilli Powder (Lal lanka gunda)  (500 g),60
Catch Sabzi Masala Powder (Pariba masala)  (100 g),60
Catch Sambhar Masala (Sambar Powder)  (100 g),60
Catch Sprinkler Black Salt  (200 g),359
Catch Sprinklers Chat Masala (Chaat Masala)  (100 g),730
Catch Sprinklers Iodized Salt (Lunno)  (100 g),359
Catch Super Garam Masala (Garam Masala Powder)  (200 g),60
Catch Turmeric Powder  (100 g),60
Catch Turmeric Powder  (200 g),60
cust_purchaseCavin's Chocolate Milkshake, with Zinc, Vitamin A & D, No Preservativecust_purchase,14
Cavin's Rose Sweet Lassi  (180 ml),151
Center Fruit Soft Chews Candy Assorted Chewing Gum  (33 g),7
Center Fruit Tennis Ball Shape Pineapple Chewing Gum  (67.2 g),7
Centre Fresh Sugarfree Clean Breath Menthol Mint  (35 g),7
Chupa Chups Bites Mixed Fruit Sour Candy  (61.6 g),1
cust_purchaseChupa Chups Long Tubes, Strawberry Flavour, Soft Candy Strawberry & Watermelon Candy  (80 g)cust_purchase,2
Chupa Chups Sour Belt Mixed Fruit Flavour Candy  (57.6 g),1
Cintu Kofilik caramel coffee Candy  (792 g),730
Cintu Kracker Jar Bars  (548 g),14
Cintu Milk Eclairs Container Milk Toffee  (1080 g),14
Cintu Spicy Beats mango Candy  (456 g),2
Cintu Superr Jar Bars  (548 g),729
Classic Almonds by Flipkart Grocery (Badam)  (200 g),270
Classic Amchur Powder by Flipkart Grocery (Amchoor Powder)  (100 g),60
Classic Apricots by Flipkart Grocery (Geuta)  (200 g),1
Classic Baskati Rice by Flipkart Grocery  (1 kg),4
Classic Bay Leaf by Flipkart Grocery (Tejapatra)  (50 g),7
Classic Besan by Flipkart Grocery  (1 kg),89
Classic Besan by Flipkart Grocery  (500 g),89
Classic Black Pepper powder by Flipkart Grocery (Golamaricha gunda)  (100 g),60
Classic Black Pepper/Kali Mirch by Flipkart Grocery (Golamaricha)  (200 g),730
Classic Black Raisins by Flipkart Grocery (Kishmish)  (200 g),180
Classic Black Urad Gota (Gota Biri Dali) (Whole) by Flipkart Grocery  (500 g),7
Classic Broken Wheat by Flipkart Grocery  (500 g),180
Classic Brown Chana (Whole) by Flipkart Grocery  (1 kg),7
Classic Chana (Whole) by Flipkart Grocery  (2 kg),7
Classic Chana Dal (Buta Dali) (Split) by Flipkart Grocery  (1 kg),119
Classic Chat Masala by Flipkart Grocery (Chaat Masala)  (100 g),244
Classic Chilli Powder by Flipkart Grocery (Lal lanka gunda)  (500 g),60
Classic Cloves by Flipkart Grocery (Labanga)  (100 g),5
Classic Coriander/Dhaniya Powder by Flipkart Grocery (dhania gunda)  (500 g),60
Classic Coriander/Dhaniya Whole by Flipkart Grocery  (200 g),7
Classic Corn Flour by Flipkart Grocery (Moka ro otta)  (200 g),180
Classic Cumin Seeds by Flipkart Grocery (Gota jeera)  (200 g),730
Classic Desi Ghee 1 L Tetrapack by Flipkart Grocery (Ghio),179
Classic Fenugreek by Flipkart Grocery (Methi)  (100 g),5
Classic Figs by Flipkart Grocery (Dimiri)  (200 g),90
Classic Fried Gram (Split) by Flipkart Grocery  (500 g),5
Classic Ginger Powder by Flipkart Grocery (Ada gunda)  (100 g),60
Classic Gobindobhog/Jeera/Ambemohar Gobindobhog Rice by Flipkart Grocery  (1 kg),4
Classic Green Cardamom by Flipkart Grocery (Chhota gujurati)  (50 g),5
Classic Green Moong Dal (Muga Dali) (Split/Chilka) by Flipkart Grocery  (1 kg),119
Classic Green Peas (Motoro) (Whole) by Flipkart Grocery  (500 g),7
Classic Hing Powder by Flipkart Grocery (Hengu Powder)  (50 g),60
Classic Independence Almonds by Flipkart Grocery (Badam)  (500 g),72
Classic Indian Raisins by Flipkart Grocery (Kishmish)  (100 g),180
Classic Indian Raisins by Flipkart Grocery (Kishmish)  (500 g),180
Classic Inshell Walnuts by Flipkart Grocery (Akhrot)  (500 g),180
Classic Jeerakati Rice by Flipkart Grocery  (5 kg),4
Classic Kabuli Chana (Kabuli Buta) (Whole) by Flipkart Grocery  (500 g),7
Classic Kachi Ghani Mustard Oil Plastic Bottle by Flipkart Grocery (Sorisa Tela)  (1 L),224
Classic Kachi Ghani Mustard Oil Pouch by Flipkart Grocery (Sorisa Tela)  (1 L),224
Classic Kachi Ghani Mustard Oil by Flipkart Grocery Mustard Oil PET Bottle (Sorisa Tela)  (500 ml),224
Classic Kachi Ghani by Flipkart Grocery Mustard Oil Jar (Sorisa Tela)  (5 L),224
Classic Kalonji by Flipkart Grocery (Kala jeera)  (50 g),5
Classic Kasuri Methi by Flipkart Grocery  (100 g),5
Classic Kitchen King Masala Powder by Flipkart Grocery (Pariba masala)  (100 g),60
Classic Maida by Flipkart Grocery  (500 g),89
Classic Makki Atta by Flipkart Grocery (Moka ro otta)  (500 g),5
Classic Matar Dal (Motoro Dali) (Split) by Flipkart Grocery  (500 g),119
Classic Minikit Rice by Flipkart Grocery  (10 kg),4
Classic Moong Dal (Muga Dali) (Whole) by Flipkart Grocery  (2 kg),7
Classic Mot Matki (kancha muga) (Whole) by Flipkart Grocery  (500 g),7
Classic Mustard/Rai Small by Flipkart Grocery (Kala sorisa)  (200 g),365
Classic Peanut (China Badam) (Whole) by Flipkart Grocery  (500 g),7
Classic Red Rajma (Whole) by Flipkart Grocery  (500 g),7
Classic Roasted Bengal Gram (Bhaja Sola Buta) (Whole) by Flipkart Grocery  (500 g),7
Classic Sattu by Flipkart Grocery  (500 g),5
Classic Saunf Big by Flipkart Grocery (Pana Madhuri)  (200 g),5
Classic Saunf Green by Flipkart Grocery (Pana Madhuri)  (100 g),5
Classic Seedless Black Raisins by Flipkart Grocery (Kishmish)  (200 g),180
Classic Sooji/Bombay Rava by Flipkart Grocery (Suji)  (1 kg),89
Classic Soya Chunks by Flipkart Grocery  (1 kg),21
Classic Soya Chunks by Flipkart Grocery  (200 g),21
Classic Soya Chunks by Flipkart Grocery  (400 g),21
Classic Toor/Arhar Dal (Harada Dali) (Split) by Flipkart Grocery  (5 kg),119
Classic Toor/Arhar Dal (Harada Dali) (Split) by Flipkart Grocery  (500 g),119
Classic Tulsi Bhog Raw Rice (Koncha Chaulo)  (10 kg),4
Classic Turmeric Powder by Flipkart Grocery  (500 g),60
Classic Urad Dal (Biri Dali) (Split) by Flipkart Grocery  (1 kg),119
Classic Urad Dal (Biri Dali) (Whole) by Flipkart Grocery  (5 kg),7
Classic Urad Gota (Gota Biri Dali) (Whole) by Flipkart Grocery  (1 kg),7
Classic Urad Gota (Gota Biri Dali) (Whole) by Flipkart Grocery  (2 kg),7
Classic Urad Gota (Gota Biri Dali) (Whole) by Flipkart Grocery  (500 g),7
Classic Walnuts Kernels by Flipkart Grocery  (200 g),180
Classic Wheat Flour Atta by Flipkart Grocery (Whole-Gehuro otta)  (10 kg),7
Classic Wheat Flour Atta by Flipkart Grocery (Whole-Gehuro otta)  (5 kg),7
Classic White Lobia (Whole) by Flipkart Grocery  (500 g),7
Classic White Peas (Motoro) (Whole) by Flipkart Grocery  (500 g),7
Classic White Rajma (Whole) by Flipkart Grocery  (500 g),7
Classic Whole Cashews by Flipkart Grocery (Kaju)  (200 g),7
Classic Yellow Moong Dal (Muga Dali) (Split) by Flipkart Grocery  (1 kg),119
Classic by Flipkart Grocery Bold Sugar (White Sugar)  (1 kg),730
Classic by Flipkart Grocery Bold Sugar (White Sugar)  (5 kg),730
Classic by Flipkart Grocery Jowar (Juwar)  (1 kg),5
Classic by Flipkart Grocery Phool Makhana  (100 g),5
Classic by Flipkart Grocery Ragi  (1 kg),5
Coca-Cola Diet Coke Can  (300 ml),1
Coca-Cola Original Taste Soft Drink PET Bottle  (2.25 L),180
cust_purchaseCoca-Cola Zero Sugar, No Calories Soft Drink Can  (300 ml)cust_purchase,180
D'lecta Salty Mozzarella cheese Block  (200 g),60
DHAMPURE Sulphurless Sugar (Refined Sugar)  (1 kg),730
DHAMPURE Sulphurless Sugar (White Sugar)  (5 kg),730
DHAMPURE Sulphurless Sugar (White Sugar)  (500 g),730
DHARA Filtered Groundnut Oil Pouch (Bhutolo Telo)  (1 L),224
DHARA Kachi Ghani Mustard Oil Pouch (Sorisa Tela)  (1 L),224
DHARA Refined Sunflower Oil Pouch (Surjyamukhi Tela)  (1 L),224
