store_id,store_name,product_id,product_name,manufacture_date,expiry_date,quantity
cens-0820210007-3653,ESCLAT-BON PREU,87.1.10,Cadbury 5 Star Chocolate Bars  (38 g),01 Feb 2024,01 Nov 2024,58
cens-0820210007-3653,ESCLAT-BON PREU,42.1.4,Sunfeast Mom's Magic Cashew and Almonds Cookies  (584 g),01 Jan 2024,26 Sep 2024,29
cens-0820210007-3653,ESCLAT-BON PREU,23.1.35,Classic Black Pepper powder by Flipkart Grocery (Golamaricha gunda)  (100 g),17 Feb 2024,12 Nov 2024,58
cens-0820210007-3653,ESCLAT-BON PREU,3.1.3,Tata Sampann Yellow Moong Dal (Muga Dali) (Split)  (1 kg),01 Mar 2024,23 Feb 2025,75
cens-0820210007-3653,ESCLAT-BON PREU,95.1.2,Delish by Flipkart Schezwan Hot and Spicy Chutney Paste  (250 g),01 Mar 2024,22 Aug 2025,89
cens-0820210007-3653,ESCLAT-BON PREU,89.1.23,Madhuban Lollypolly Flavoured Orange Candy  (100 g),01 Mar 2024,30 Aug 2024,30
cens-0820210007-3653,ESCLAT-BON PREU,50.2.10,DORITOS Sweet Chilli Flavour Nachos  (44 g),15 Mar 2024,11 Sep 2024,13
cens-0820210007-3653,ESCLAT-BON PREU,24.2.7,india gate Classic Lucknowi Biryani Masala  (120 g),01 Jan 2024,30 Dec 2024,80
cens-0820210007-3653,ESCLAT-BON PREU,87.2.22,Cadbury Celebrations Assorted Chocolate Gift Pack Bars  (178.8 g),01 Jan 2024,28 Jul 2024,67
cens-0820210007-3653,ESCLAT-BON PREU,24.1.9,MDH Kitchen King Mixed Spices Powder (Pariba masala)  (100 g),01 Mar 2024,25 Mar 2025,53
cens-0820210007-3653,ESCLAT-BON PREU,50.2.5,ACT II Nachoz - Tomato Nachos Chips  (150 g),11 Nov 2023,08 May 2024,38
cens-0820210007-3653,ESCLAT-BON PREU,67.1.15,"HORLICKS Classic Malt| Health, Milk and Nutrition Drink (Malted)  (500 g)",01 Feb 2024,31 Jan 2025,67
cens-0820210007-3653,ESCLAT-BON PREU,48.1.9,Dukes Waffy Chocolate flavoured rolls Waffles  (300 g),01 Feb 2024,27 Oct 2024,47
cens-0820210007-3653,ESCLAT-BON PREU,63.1.1,"B Natural Orange Juice, Goodness of fiber, Enriched with Vitamin C & E  (1 L)",01 Feb 2024,27 Oct 2024,29
cens-0820210007-3653,ESCLAT-BON PREU,36.1.1,zoff Lotus Seeds (Lotus Seeds(Makhana)) (Makhana)  (100 g),01 Mar 2024,01 Mar 2025,93
cens-0820210007-3653,ESCLAT-BON PREU,87.2.3,Cadbury Gems Chocolate Pouch Crackles  (25.28 g),01 Oct 2023,21 Sep 2024,92
cens-0820210007-3653,ESCLAT-BON PREU,16.1.1,Mayurank Foods Rice Powder (Chaula Gunda) (Atap)  (500 g),14 Mar 2024,13 Jun 2024,80
cens-0820210007-3653,ESCLAT-BON PREU,39.1.10,Classic by Flipkart Grocery Bold Sugar (White Sugar)  (1 kg),01 Feb 2024,25 Jan 2025,15
cens-0820210007-3653,ESCLAT-BON PREU,82.1.5,Maggi PAZZTA Instant Cheese Macaroni Pasta  (75 g),01 Feb 2024,27 Oct 2024,27
cens-0820210007-3653,ESCLAT-BON PREU,97.1.4,"MTR Gulab Jamun Mix 350 g  (Combo Pack 1 + 1 Free, 160 g each)",27 Oct 2023,22 Jul 2024,19
cens-0820210007-3653,ESCLAT-BON PREU,74.1.3,"HERSHEY'S Genuine Chocolates  (623 g, Pack of 1)",01 Nov 2023,24 Nov 2024,54
cens-0820210007-3653,ESCLAT-BON PREU,22.1.23,zoff Til White Sesame Seeds  (100 g),01 Mar 2024,01 Mar 2025,73
cens-0820210007-3653,ESCLAT-BON PREU,31.1.15,"Fortune Mogra Basmati Rice (Basmati chaula) (Broken Grain, Raw)  (5 kg)",01 Mar 2024,18 Feb 2026,49
cens-0820210007-3653,ESCLAT-BON PREU,50.1.11,Too Yumm! Potato Stix Aloo Chat Chips  (70 g),01 Mar 2024,27 Aug 2024,57
cens-0820210007-3653,ESCLAT-BON PREU,5.1.10,Classic White Lobia (Whole) by Flipkart Grocery  (500 g),30 Mar 2024,25 Sep 2024,55
cens-0820210007-3653,ESCLAT-BON PREU,58.1.15,"Nescafe Classic Coffee Powder, 100% Pure Instant Coffee  (45 g)",01 Jul 2023,29 Jan 2025,31
cens-0800180001-1321,MERCADONA,19.1.2,Varalakshmi Tapioca Premium Sago  (500 g),01 Mar 2024,23 Feb 2025,62
cens-0800180001-1321,MERCADONA,37.1.17,Happilo Premium International Nuts & Berries (Assorted Fruits & Nuts)  (200 g),01 Oct 2023,24 Sep 2024,91
cens-0800180001-1321,MERCADONA,71.1.1,kinley Soda Extra Punch PET Bottle  (750 ml),01 Mar 2024,28 Jun 2024,46
cens-0800180001-1321,MERCADONA,18.1.3,Classic Corn Flour by Flipkart Grocery (Moka ro otta)  (200 g),30 Mar 2024,27 Jun 2024,77
cens-0800180001-1321,MERCADONA,106.1.3,Milky Mist Plain Processed cheese Block  (500 g),14 Feb 2024,09 Nov 2024,99
cens-0800180001-1321,MERCADONA,78.1.8,"Kellogg's Fruit Nut & Seeds, 12-in-1 Power Breakfast, IndiaNo.1 Muesli Cereal Pouch  (500 g)",25 Jan 2024,20 Oct 2024,7
cens-0800180001-1321,MERCADONA,78.1.4,"Kwality Crunchy Muesli Fruit & Nut, 76% Multigrains, High in Fibre & Protein, Breakfast Jar  (1 kg)",01 Feb 2024,27 Oct 2024,34
cens-0800180001-1321,MERCADONA,3.1.2,Classic Yellow Moong Dal (Muga Dali) (Split) by Flipkart Grocery  (1 kg),01 Mar 2024,25 Nov 2024,75
cens-0800180001-1321,MERCADONA,106.1.24,Dlecta Cheddar cheese Block  (200 g),21 Nov 2023,16 Aug 2024,42
cens-0800180001-1321,MERCADONA,24.1.23,"EVEREST Hot and Red Chilli Powder Tikhalal, Pack of 1 (Masala Combo)  (100 g)",01 Feb 2024,31 Jan 2025,61
cens-0800180001-1321,MERCADONA,66.1.11,Real Fruit Juice - Mango  (1 L),01 Feb 2024,28 Aug 2024,43
cens-0800180001-1321,MERCADONA,59.1.4,Maaza Mango  (1.2 L),16 Feb 2024,15 Aug 2024,27
cens-0800180001-1321,MERCADONA,58.1.9,"Nescafe Sunrise Instant Coffee  (50 g, Chicory Flavoured)",01 Feb 2024,01 May 2025,60
cens-0800180001-1321,MERCADONA,39.1.2,Organic Tattva Sugar (White Sugar)  (500 g),01 Nov 2023,25 Oct 2024,19
cens-0800180001-1321,MERCADONA,32.1.21,"Farmley Roasted & Salted, Crunchy & Healthy Kaju Cashews  (200 g)",01 Feb 2024,29 Jul 2024,74
cens-0800180001-1321,MERCADONA,103.1.1,WeiKFiELD Cooker Cake Mix Vanilla Flavor Carton 150 g,06 Oct 2023,01 Jul 2024,75
cens-0800180001-1321,MERCADONA,37.1.31,ProV Californian Inshell Walnut Walnuts (Akhrot)  (500 g),01 Mar 2024,27 Aug 2024,68
cens-0800180001-1321,MERCADONA,28.1.6,"Sublabh Royal Minikit Rice (Long Grain, Parboiled)  (5 kg)",01 Mar 2024,23 Feb 2025,37
cens-0800180001-1321,MERCADONA,89.1.16,Hajmola Imli  (120 pieces),01 Jan 2024,20 Dec 2025,95
cens-0800180001-1321,MERCADONA,8.1.1,Gowardhan Pure Cow Ghee 750 ml Pouch,27 Feb 2024,20 Feb 2025,58
cens-0800180001-1321,MERCADONA,50.2.16,Parle's Cream and Onion Flavour Wafers  (75 g),06 Feb 2024,03 Aug 2024,99
cens-0800180001-1321,MERCADONA,46.1.3,BRITANNIA Nutrichoice Sugar Free Cracker Salted Biscuit (Luniya Biscuit)  (300 g),01 Feb 2024,29 Jul 2024,39
cens-0800180001-1321,MERCADONA,39.1.1,Organic Tattva Brown Sugar  (500 g),01 Feb 2024,25 Jan 2025,4
cens-0800180001-1321,MERCADONA,26.1.6,Snapin Chilli Flakes  (35 g),01 Nov 2023,25 Oct 2024,49
cens-0800180001-1321,MERCADONA,88.1.16,Gits Gulab Jamun Open & Eat Tin  (1 kg),26 Aug 2023,25 Aug 2024,55
cens-0800180001-1321,MERCADONA,16.1.2,Mayurank Rice Powder (Chaula Gunda)  (500 g),14 Mar 2024,13 Jun 2024,21
cens-0800180001-1321,MERCADONA,80.1.5,Yogabar Breakfast Protein Bar Pouch  (50 g),06 Jan 2024,04 May 2024,18
cens-0800180001-1321,MERCADONA,88.1.6,Bikaneri Basket Spongy Rasgulla Tin (Rosogola)  (1000 g),01 Mar 2024,29 Aug 2024,57
cens-0800180001-1321,MERCADONA,43.1.21,Cadbury Oreo Biscuit Chocolate Flavour (5 single packs inside) Cream Sandwich  (481.25 g),16 Mar 2024,13 Nov 2024,1
cens-0800180001-1321,MERCADONA,24.2.12,RUCHI Curry Powder  (100 g),01 Mar 2024,25 Dec 2024,15
cens-0800180001-1321,MERCADONA,77.1.19,"Kellogg's Chocos Fills Double Chocolaty, 0% Maida, Oats, Wheat & Rice, Multigrain Snack Pouch  (160 g)",09 Jan 2024,04 Oct 2024,10
cens-0800180001-1321,MERCADONA,90.1.1,RAJNIGANDHA Silver Pearls Cardamom Mouth Freshener  (6 g),01 Feb 2024,25 Jan 2025,79
cens-0800180001-1321,MERCADONA,25.1.4,Catch Ginger Paste  (100 g),01 Oct 2023,28 Sep 2024,20
cens-0800180001-1321,MERCADONA,19.1.10,Classic by Flipkart Grocery Jowar (Juwar)  (1 kg),24 Nov 2023,21 May 2024,1
cens-0800180001-1321,MERCADONA,24.1.31,Catch Meat Masala  (100 g),01 Dec 2023,24 Nov 2024,54
cens-0800180001-1321,MERCADONA,67.1.23,Cadbury Bournvita Chocolate Nutrition Drink  (2 kg),06 Feb 2024,05 Feb 2025,93
cens-0800180001-1321,MERCADONA,91.1.5,BRITANNIA Treat Cocoa Creme Roll Croissants  (45 g),09 Mar 2024,06 Aug 2024,18
cens-0800180001-1321,MERCADONA,50.1.21,Too Yumm! Multigrain Chips  (10 G Extra in Pack)  (65 g),21 Feb 2024,18 Aug 2024,17
cens-0800180001-1321,MERCADONA,66.1.16,"B Natural Guava Juice, Goodness of Fiber, Vit C & E  (1 L)",01 Feb 2024,27 Oct 2024,28
cens-0800180001-1321,MERCADONA,24.1.27,"Tata Sampann Pav Bhaji Masala with Natural Oils, Crafted by Chef Sanjeev Kapoor  (100 g)",01 Oct 2023,23 Mar 2025,18
cens-0800180001-1635,SUPERMERCAT ALI,17.1.2,Organic Tattva Wheat Maida  (500 g),01 Jan 2024,01 Oct 2024,57
cens-0800180001-1635,SUPERMERCAT ALI,77.1.19,"Kellogg's Chocos Fills Double Chocolaty, 0% Maida, Oats, Wheat & Rice, Multigrain Snack Pouch  (160 g)",09 Jan 2024,04 Oct 2024,37
cens-0800180001-1635,SUPERMERCAT ALI,77.1.31,"Kellogg's Crunchy Granola Honey, Almonds, Strawberries & Pumpkin Seeds, Multigrain Cereal Pouch  (450 g)",01 Oct 2023,27 Jun 2024,66
cens-0800180001-1635,SUPERMERCAT ALI,26.1.2,Catch Peri Peri Masala Sprinkler  (90 g),01 Jan 2024,25 Dec 2024,64
cens-0800180001-1635,SUPERMERCAT ALI,35.1.10,ProV Premium Cranberries  (250 g),01 Nov 2023,27 Jul 2024,44
cens-0800180001-1635,SUPERMERCAT ALI,93.1.10,Dabur Honey  (250 g),01 Feb 2024,24 Jul 2025,94
cens-0800180001-1635,SUPERMERCAT ALI,93.1.7,BeeYogi Honey  (1 kg),01 Feb 2024,24 Jul 2025,64
cens-0800180001-1635,SUPERMERCAT ALI,51.1.6,balasa Udad Papad 200 g (Plain Papodo),15 Feb 2024,13 Jun 2024,13
cens-0800180001-1635,SUPERMERCAT ALI,97.1.12,"Tata Sampann Instant Fibre Rich Idli Ready to Cook Mix/Batter, Make soft idlis in 15 mins 500 g",10 Nov 2023,06 Jul 2024,51
cens-0800180001-1635,SUPERMERCAT ALI,67.1.12,COMPLAN Nutrition and Health Drink Creamy Classic Refill  (500 g),01 Dec 2023,01 Jun 2025,84
cens-0800180001-1635,SUPERMERCAT ALI,82.1.5,Maggi PAZZTA Instant Cheese Macaroni Pasta  (75 g),01 Feb 2024,27 Oct 2024,66
cens-0800180001-1635,SUPERMERCAT ALI,24.1.36,EVEREST KITCHEN KING MASALA (Pariba masala)  (100 g),01 Jan 2024,25 Mar 2025,39
cens-0800180001-1635,SUPERMERCAT ALI,24.1.8,"Tata Sampann Chicken Masala with Natural Oils, Crafted by Chef Sanjeev Kapoor  (100 g)",01 Feb 2024,24 Jul 2025,26
cens-0800180001-1635,SUPERMERCAT ALI,50.1.9,Bingo Mad Angles Achaari Masti Chips  (66 g),22 Mar 2024,17 Sep 2024,79
cens-0800180001-1635,SUPERMERCAT ALI,24.2.6,Emami Healthy and Tasty Chicken Masala  (50 g),22 Dec 2023,15 Dec 2024,47
cens-0800180001-1635,SUPERMERCAT ALI,24.2.7,india gate Classic Lucknowi Biryani Masala  (120 g),01 Jan 2024,30 Dec 2024,78
cens-0800180001-1635,SUPERMERCAT ALI,13.1.2,Fortune Premium kachi ghani pure Mustard Oil Pouch (Sorisa Tela)  (1 L),01 Mar 2024,25 Nov 2024,26
cens-0800180001-1635,SUPERMERCAT ALI,82.1.4,CHEF'S BASKET Instant Pasta Macaroni Pasta  (850 g),01 Jan 2024,01 Jul 2025,5
cens-0800180001-1635,SUPERMERCAT ALI,89.1.4,Cadbury Choclairs Gold (100 Candies) Coffee Toffee  (520 g),11 Jan 2024,09 Oct 2024,6
cens-0800180001-1635,SUPERMERCAT ALI,84.1.9,DNV Green Chilli Sauce  (200 g),01 Feb 2024,25 Jan 2025,33
cens-0800180001-1635,SUPERMERCAT ALI,55.1.1,Tetley Immune with Added Vitamin C Tulsi Green Tea Bags Box  (25 Bags),01 Nov 2023,29 Jan 2025,66
cens-0800180001-1635,SUPERMERCAT ALI,42.2.12,Delish by Flipkart Jeera Cookies  (200 g),05 Mar 2024,31 Aug 2024,14
cens-0800180001-1635,SUPERMERCAT ALI,2.1.8,Classic Urad Dal (Biri Dali) (Whole) by Flipkart Grocery  (5 kg),14 Mar 2024,08 Dec 2024,4
cens-0800180001-1635,SUPERMERCAT ALI,69.1.7,"Red Bull The Red Edition Energy Drink  (250 ml, Watermelon Flavored)",28 Jun 2023,21 Jun 2024,85
cens-0800180001-1635,SUPERMERCAT ALI,8.1.7,Amul Ghee 1 L Tin (Ghio),01 Dec 2023,24 Nov 2024,6
cens-0800180001-1635,SUPERMERCAT ALI,105.1.18,HERSHEY'S Vanilla Ice Cream Flavored Milkshake | Enriched with Calcium  (180 ml),01 Mar 2024,25 Nov 2024,89
cens-0800180001-1635,SUPERMERCAT ALI,68.1.8,Appy Fizz Plastic Bottle  (1 L),26 Feb 2024,24 Jun 2024,69
cens-0800180001-1635,SUPERMERCAT ALI,9.1.7,Aadhar Refined Sunflower Oil Pouch (Surjyamukhi Tela)  (1 L),01 Mar 2024,29 Nov 2024,23
cens-0800180001-1635,SUPERMERCAT ALI,97.1.16,WeiKFiELD Instant Falooda Mix Rose Flavor pouch 200 g,01 Mar 2024,23 Feb 2025,49
cens-0800180001-1635,SUPERMERCAT ALI,93.1.6,Apis Himalaya Honey Squeezy  (500 g),01 Jan 2024,31 Dec 2025,28
cens-0800180001-1635,SUPERMERCAT ALI,96.1.14,"Kwality Tomato Soup (Cuppa soup), Ready-to-Cook, Premium Quality Ingredients  (Pack of 6, 60 g)",23 Jan 2024,18 Oct 2024,95
cens-0800180001-1635,SUPERMERCAT ALI,81.1.11,Wai Wai Atta 5 IN 1 18 pkt Instant Noodles Vegetarian  (360 g),01 Jan 2024,31 Dec 2024,32
cens-0800180001-1635,SUPERMERCAT ALI,4.1.7,Organic Tattva Kabuli Chana (Kabuli Buta) (Whole)  (1 kg),01 Nov 2023,25 Oct 2024,53
cens-0800180001-1635,SUPERMERCAT ALI,2.1.4,Classic Urad Gota (Gota Biri Dali) (Whole) by Flipkart Grocery  (2 kg),14 Mar 2024,08 Dec 2024,85
cens-0800180001-1635,SUPERMERCAT ALI,105.1.19,HERSHEY'S Milkshake Mocha  (Coffee),06 Jan 2024,01 Oct 2024,18
cens-0800180001-1635,SUPERMERCAT ALI,85.1.30,RiteBite Max Protein Peanut Butter - Classic Crunchy 1000 g (Nut Butter),12 Feb 2024,06 May 2025,20
cens-0800180001-1635,SUPERMERCAT ALI,53.1.9,"Tata Tea Premium Teaveda Tulsi, Cardamom, Ginger Black Tea Box  (250 g)",01 Mar 2024,24 May 2025,21
cens-0800180001-1635,SUPERMERCAT ALI,19.1.6,Varalakshmi Tapioca Mothi Sago  (500 g),01 Oct 2023,24 Sep 2024,1
cens-0800180001-1635,SUPERMERCAT ALI,44.1.13,"Dukes Natural goodness of Oats, Wheat, and Honey Digestive  (1 kg, Pack of 10)",01 Feb 2024,27 Oct 2024,74
cens-0800180001-1635,SUPERMERCAT ALI,89.1.34,Cintu Kofilik caramel coffee Candy  (792 g),01 Jan 2024,25 Dec 2024,84
cens-0800180001-1678,FORN DE PA - ALIMENTACIÓ ABRERA,46.1.8,PARLE Monaco Salted Biscuit (Luniya Biscuit)  (400 g),04 Mar 2024,29 Oct 2024,45
cens-0800180001-1678,FORN DE PA - ALIMENTACIÓ ABRERA,98.1.2,MTR Vegetable Upma 60 g,01 Jan 2024,26 Sep 2024,67
cens-0800180001-1678,FORN DE PA - ALIMENTACIÓ ABRERA,98.1.4,MTR 3 Minute Breakfast Poha 60 g,01 Jan 2024,26 Sep 2024,8
cens-0800180001-1678,FORN DE PA - ALIMENTACIÓ ABRERA,88.1.16,Gits Gulab Jamun Open & Eat Tin  (1 kg),26 Aug 2023,25 Aug 2024,17
cens-0800180001-1678,FORN DE PA - ALIMENTACIÓ ABRERA,32.1.23,Kalbavi Premium Large Cashews (Kaju)  (500 g),19 Feb 2024,15 Oct 2024,85
cens-0800180001-1678,FORN DE PA - ALIMENTACIÓ ABRERA,43.1.25,"Parle Platina Milano Choco Delight Cream Filled  (250 g, Pack of 20)",08 Mar 2024,03 Oct 2024,64
cens-0800180001-1678,FORN DE PA - ALIMENTACIÓ ABRERA,68.1.16,sprite Carbonated Water Can  (300 ml),01 Feb 2024,01 Oct 2024,56
cens-0800180001-1678,FORN DE PA - ALIMENTACIÓ ABRERA,22.1.3,zoff Cumin (Gota jeera)  (200 g),01 Mar 2024,23 Feb 2025,27
cens-0800180001-1678,FORN DE PA - ALIMENTACIÓ ABRERA,37.1.13,Farmley Premium California Roasted & Salted Pistachios  (200 g),10 Mar 2024,09 Dec 2024,84
cens-0800180001-1678,FORN DE PA - ALIMENTACIÓ ABRERA,72.1.1,Rasna Instant Mango  (750 g),01 Jan 2024,20 Dec 2025,12
cens-0800180001-1678,FORN DE PA - ALIMENTACIÓ ABRERA,44.1.9,BRITANNIA NutriChoice Essentials Oats Cookies (No Added Sugar & Diabetic Friendly) Digestive  (150 g),01 Jan 2024,01 Jul 2024,79
cens-0800180001-1678,FORN DE PA - ALIMENTACIÓ ABRERA,77.1.13,"Kwality Choco Flakes, Source of Protein & Fibre, Richness of Chocolate, Breakfast Cereal Box  (375 g)",16 Feb 2024,11 Nov 2024,73
cens-0800180001-1678,FORN DE PA - ALIMENTACIÓ ABRERA,87.2.19,HERSHEY'S Exotic Dark Californian Almonds Truffles  (30 g),01 Jan 2024,25 Dec 2024,69
cens-0800180001-1678,FORN DE PA - ALIMENTACIÓ ABRERA,79.1.9,"Kellogg's Rolled Oats Trusted by Nutritionists, High in Protein & Fibre, Breakfast Oats Pouch  (1500 g)",01 Feb 2024,31 Jan 2025,76
cens-0800180001-1678,FORN DE PA - ALIMENTACIÓ ABRERA,105.1.13,"Cavin's Chocolate Milkshake, with Zinc, Vitamin A & D, No Preservative",01 Feb 2024,27 Oct 2024,91
cens-0800180001-1678,FORN DE PA - ALIMENTACIÓ ABRERA,97.1.11,MTR Ready Mix Rava Idli 500 g,01 Sep 2023,25 Aug 2024,3
cens-0800180001-1678,FORN DE PA - ALIMENTACIÓ ABRERA,67.1.21,COMPLAN Nutrition and Health Drink Royale Chocolate Jar (Flavored)  (500 g),01 Dec 2023,22 Feb 2025,70
cens-0800180001-1678,FORN DE PA - ALIMENTACIÓ ABRERA,13.1.6,Fortune Premium kachi ghani pure Mustard Oil PET Bottle (Sorisa Tela)  (1 L),01 Feb 2024,25 Jan 2025,4
cens-0800180001-1678,FORN DE PA - ALIMENTACIÓ ABRERA,9.1.2,EMAMI Healthy & Tasty Refined Sunflower Oil Can (Surjyamukhi Tela)  (5 L),26 Aug 2023,25 May 2024,8
cens-0800180001-1678,FORN DE PA - ALIMENTACIÓ ABRERA,22.1.20,Classic Saunf Green by Flipkart Grocery (Pana Madhuri)  (100 g),23 Mar 2024,19 Sep 2024,87
cens-0800180001-1678,FORN DE PA - ALIMENTACIÓ ABRERA,106.1.13,MOTHER DAIRY Processed cheese Cubes  (180 g),08 Dec 2023,07 Sep 2024,69
cens-0800180001-1678,FORN DE PA - ALIMENTACIÓ ABRERA,9.1.5,Freedom Refined Sunflower Oil Pouch (Surjyamukhi Tela)  (1 L),01 Mar 2024,29 Nov 2024,92
cens-0800180001-1678,FORN DE PA - ALIMENTACIÓ ABRERA,85.1.16,"Saffola Peanut Butter, Creamy, High Protein , Only Jaggery, No Refined Sugar 850 g (Nut Butter)",01 Feb 2024,26 Dec 2024,45
cens-0800180001-1678,FORN DE PA - ALIMENTACIÓ ABRERA,87.1.13,Cadbury Bournville Rich Cocoa 70% Dark Chocolate Bars  (80 g),16 Jan 2024,04 Oct 2024,30
cens-0800180001-1678,FORN DE PA - ALIMENTACIÓ ABRERA,89.1.32,Orbit Sugarfree Pot Mixed Fruit Chewing Gum  (22 g),01 Dec 2023,24 Nov 2024,86
cens-0800180001-1678,FORN DE PA - ALIMENTACIÓ ABRERA,42.1.15,BISK FARM Top Gold Bakery Biscuit  (200 g),06 Mar 2024,04 Sep 2024,16
cens-0800180001-1678,FORN DE PA - ALIMENTACIÓ ABRERA,43.1.23,Cadbury Oreo Biscuit Vanilla Flavour (5 single packs inside) Cream Sandwich  (481.25 g),01 Jan 2024,31 Aug 2024,71
cens-0800180001-1678,FORN DE PA - ALIMENTACIÓ ABRERA,101.1.1,Flipkart Supermart Vinegar  (200 ml),01 Mar 2024,25 Nov 2024,88
cens-0800180001-1678,FORN DE PA - ALIMENTACIÓ ABRERA,8.1.10,Anik Buffalo Ghee 1 L Carton (Ghio),01 Feb 2024,25 Jan 2025,87
cens-0800180001-1678,FORN DE PA - ALIMENTACIÓ ABRERA,78.1.10,Bagrry's Crunchy Muesli 30% Fruit & Nut with Cranberries | 34% Rich Fibre Oats Pouch  (750 g),24 Jan 2024,19 Oct 2024,83
cens-0800180001-1678,FORN DE PA - ALIMENTACIÓ ABRERA,67.1.10,COMPLAN Nutrition and Health Drink Kesar Badam Refill  (500 g),01 Oct 2023,23 Mar 2025,92
cens-0800180001-1678,FORN DE PA - ALIMENTACIÓ ABRERA,49.2.10,lalji Khatta Meetha (Khata Meetha)  (400 g),15 Nov 2023,12 May 2024,64
cens-0800180001-1678,FORN DE PA - ALIMENTACIÓ ABRERA,6.1.4,Fortune Soya Chunks  (1 kg),01 Feb 2024,25 Jan 2025,60
cens-0800180001-1678,FORN DE PA - ALIMENTACIÓ ABRERA,29.1.2,Fortune Thick Poha (Chuda)  (0.5 kg),16 Jan 2024,14 Jul 2024,4
cens-0800180001-1678,FORN DE PA - ALIMENTACIÓ ABRERA,31.1.11,KOHINOOR Charminar Select Basmati Rice (Basmati chaula) (Long Grain)  (5 kg),01 May 2023,19 Apr 2025,50
cens-0800180001-1678,FORN DE PA - ALIMENTACIÓ ABRERA,34.2.3,Molsi's Medjool Dates (Khajuri)  (500 g),01 Nov 2023,25 Oct 2024,66
cens-0800180001-1678,FORN DE PA - ALIMENTACIÓ ABRERA,51.1.4,balasa PUNJABI Masala Papad 200 g (Masala Papodo),01 Mar 2024,27 Aug 2024,72
cens-0800180001-1678,FORN DE PA - ALIMENTACIÓ ABRERA,23.1.3,zoff Jeera Powder (Jeera gunda)  (100 g),01 Mar 2024,30 May 2025,82
cens-0800180001-1678,FORN DE PA - ALIMENTACIÓ ABRERA,82.1.15,Maggi PAZZTA Instant Masala Penne Pasta  (69.5 g),01 Mar 2024,25 Nov 2024,51
cens-0800180001-1678,FORN DE PA - ALIMENTACIÓ ABRERA,50.1.29,"Bingo Cheese Flavour, Free Dip, Thin and Crunchy Chips, Nachos  (2N SRIRACHA CHILLI SAUCE DIPS Free)  (82.5 g)",12 Mar 2024,07 Sep 2024,55
cens-0800180001-1825,Condis Express,31.1.14,"INDIA GATE Daily Premium Basmati Rice (Basmati chaula) (Long Grain, Raw)  (5 kg)",01 Mar 2024,18 Feb 2026,98
cens-0800180001-1825,Condis Express,89.1.18,Alpenliebe Juicy Fills Assorted Jelly Candy  (324 g),01 Jan 2024,25 Dec 2024,38
cens-0800180001-1825,Condis Express,42.2.20,KARACHI BAKERY Double Delight Cashew and Pista Biscuit Assorted  (400 g),06 Dec 2023,03 May 2024,73
cens-0800180001-1825,Condis Express,48.1.9,Dukes Waffy Chocolate flavoured rolls Waffles  (300 g),01 Feb 2024,27 Oct 2024,64
cens-0800180001-1825,Condis Express,87.1.26,Cadbury Fuse Peanut & Caramel filled Chocolate Bars  (24 g),01 Feb 2024,27 Oct 2024,1
